institution_ID,course_ID
POLY-022,POLY-DIP-001
POLY-027,POLY-DIP-001
POLY-023,POLY-DIP-002
POLY-001,POLY-DIP-003
POLY-002,POLY-DIP-003
POLY-005,POLY-DIP-003
POLY-014,POLY-DIP-003
POLY-016,POLY-DIP-003
POLY-035,POLY-DIP-059
POLY-028,POLY-DIP-004
POLY-004,POLY-DIP-005
POLY-008,POLY-DIP-005
POLY-017,POLY-DIP-006
POLY-001,POLY-DIP-007
POLY-002,POLY-DIP-007
POLY-003,POLY-DIP-007
POLY-004,POLY-DIP-007
POLY-005,POLY-DIP-007
POLY-006,POLY-DIP-007
POLY-007,POLY-DIP-007
POLY-008,POLY-DIP-007
POLY-011,POLY-DIP-007
POLY-013,POLY-DIP-007
POLY-014,POLY-DIP-007
POLY-015,POLY-DIP-007
POLY-016,POLY-DIP-007
POLY-017,POLY-DIP-007
POLY-020,POLY-DIP-007
POLY-003,POLY-DIP-008
POLY-004,POLY-DIP-008
POLY-006,POLY-DIP-008
POLY-014,POLY-DIP-008
POLY-015,POLY-DIP-008
POLY-016,POLY-DIP-008
POLY-025,POLY-DIP-008
POLY-033,POLY-DIP-010
POLY-006,POLY-DIP-011
POLY-006,POLY-DIP-012
POLY-022,POLY-DIP-012
POLY-001,POLY-DIP-009
POLY-002,POLY-DIP-009
POLY-003,POLY-DIP-009
POLY-004,POLY-DIP-009
POLY-005,POLY-DIP-009
POLY-007,POLY-DIP-009
POLY-009,POLY-DIP-009
POLY-010,POLY-DIP-009
POLY-012,POLY-DIP-009
POLY-013,POLY-DIP-009
POLY-016,POLY-DIP-009
POLY-020,POLY-DIP-009
POLY-025,POLY-DIP-009
POLY-018,POLY-DIP-013
POLY-008,POLY-DIP-014
POLY-009,POLY-DIP-014
POLY-011,POLY-DIP-014
POLY-001,POLY-DIP-015
POLY-002,POLY-DIP-015
POLY-006,POLY-DIP-015
POLY-007,POLY-DIP-015
POLY-010,POLY-DIP-015
POLY-013,POLY-DIP-015
POLY-014,POLY-DIP-015
POLY-015,POLY-DIP-015
POLY-016,POLY-DIP-015
POLY-017,POLY-DIP-015
POLY-018,POLY-DIP-015
POLY-001,POLY-DIP-016
POLY-003,POLY-DIP-016
POLY-004,POLY-DIP-016
POLY-005,POLY-DIP-016
POLY-006,POLY-DIP-016
POLY-007,POLY-DIP-016
POLY-008,POLY-DIP-016
POLY-009,POLY-DIP-016
POLY-010,POLY-DIP-016
POLY-013,POLY-DIP-016
POLY-014,POLY-DIP-016
POLY-015,POLY-DIP-016
POLY-016,POLY-DIP-016
POLY-017,POLY-DIP-016
POLY-018,POLY-DIP-016
POLY-020,POLY-DIP-016
POLY-008,POLY-DIP-017
POLY-033,POLY-DIP-018
POLY-001,POLY-DIP-019
POLY-002,POLY-DIP-019
POLY-004,POLY-DIP-019
POLY-005,POLY-DIP-019
POLY-006,POLY-DIP-019
POLY-007,POLY-DIP-019
POLY-008,POLY-DIP-019
POLY-009,POLY-DIP-019
POLY-010,POLY-DIP-019
POLY-011,POLY-DIP-019
