course_ID,course,wbl,level,department,field,semesters
POLY-DIP-049,Diploma Perakaunan,0,Diploma,Perdagangan,Perakaunan,5
POLY-DIP-050,Diploma Perancangan Bandar dan Wilayah,0,Diploma,Kejuruteraan Awam,Perancangan Bandar dan Wilayah,6
POLY-DIP-051,Diploma Perkhidmatan Makanan Amalan Halal,0,Diploma,Pelancongan Dan Hospitaliti,Perkhidmatan Makanan Amalan Halal,6
POLY-DIP-052,Diploma Perniagaan Antarabangsa,0,Diploma,Perdagangan,Perniagaan Antarabangsa,6
POLY-DIP-053,Diploma Reka Bentuk Fesyen,0,Diploma,Reka Bentuk Dan Komunikasi Visual,Reka Bentuk Fesyen,6
POLY-DIP-054,Diploma Rekabentuk Grafik,0,Diploma,Reka Bentuk Dan Komunikasi Visual,Rekabentuk Grafik,6
POLY-DIP-055,Diploma Rekabentuk Industri,0,Diploma,Reka Bentuk Dan Komunikasi Visual,Rekabentuk Industri,6
POLY-DIP-056,Diploma Sains Kesetiausahaan,0,Diploma,Perdagangan,Sains Kesetiausahaan,6
POLY-DIP-057,Diploma Seni Bina,0,Diploma,Kejuruteraan Awam,Seni Bina,6
POLY-DIP-058,Diploma Seni Kulinari,1,Diploma,Pelancongan Dan Hospitaliti,Seni Kulinari,5
POLY-DIP-059,Diploma Senibina Kapal,0,Diploma,Kejuruteraan Perkapalan,Senibina Kapal,6
POLY-DIP-060,Diploma Sistem Maklumat Perniagaan,0,Diploma,Perdagangan,Sistem Maklumat Perniagaan,6
POLY-DIP-061,Diploma Teknologi Akuakultur,0,Diploma,Agroteknologi Dan Bio-Industri,Teknologi Akuakultur,6
POLY-DIP-062,Diploma Teknologi Berasaskan Kayu,0,Diploma,Kejuruteraan Awam,Teknologi Berasaskan Kayu,6
POLY-DIP-063,Diploma Teknologi Hortikultur Landskap,0,Diploma,Agroteknologi Dan Bio-Industri,Teknologi Hortikultur Landskap,6
POLY-DIP-064,Diploma Teknologi Kejuruteraan Elektrik Marin,0,Diploma,Teknologi Kejuruteraan Maritim,Teknologi Kejuruteraan Elektrik Marin,6
POLY-DIP-065,Diploma Teknologi Kejuruteraan Pembinaan Marin,0,Diploma,Teknologi Kejuruteraan Maritim,Teknologi Kejuruteraan Pembinaan Marin,6
POLY-DIP-066,Diploma Teknologi Kimia (Lemak dan Minyak),0,Diploma,Teknologi Makanan,Teknologi Kimia (Lemak dan Minyak),6
POLY-DIP-067,Diploma Teknologi Kreatif Digital Animasi,1,Diploma,Reka Bentuk Dan Komunikasi Visual,Teknologi Kreatif Digital Animasi,5
POLY-DIP-068,Diploma Teknologi Kreatif Digital Produksi Video,1,Diploma,Reka Bentuk Dan Komunikasi Visual,Teknologi Kreatif Digital Produksi Video,5
POLY-DIP-069,Diploma Teknologi Kreatif Digital Seni,1,Diploma,Reka Bentuk Dan Komunikasi Visual,Teknologi Kreatif Digital Seni,5
POLY-DIP-070,Diploma Teknologi Makanan,0,Diploma,Teknologi Makanan,Teknologi Makanan,6
POLY-DIP-071,Diploma Teknologi Makanan Pengurusan Halal,0,Diploma,Teknologi Makanan,Teknologi Makanan Pengurusan Halal,6
POLY-DIP-072,Diploma Teknologi Maklumat (Software & App Development),0,Diploma,Teknologi Maklumat Dan Komunikasi,Teknologi Maklumat,6
POLY-DIP-073,Diploma Teknologi Maklumat (Networking System),0,Diploma,Teknologi Maklumat Dan Komunikasi,Teknologi Maklumat,6
POLY-DIP-074,Diploma Teknologi Maklumat (Information Security),0,Diploma,Teknologi Maklumat Dan Komunikasi,Teknologi Maklumat,6
POLY-DIP-075,Diploma Teknologi Maklumat (Digital Game Programming),0,Diploma,Teknologi Maklumat Dan Komunikasi,Teknologi Maklumat,6
POLY-DIP-076,Diploma Teknologi Maklumat (Web Development),0,Diploma,Teknologi Maklumat Dan Komunikasi,Teknologi Maklumat,6
POLY-DIP-077,Diploma Teknologi Maklumat (Data Management & Visualization),0,Diploma,Teknologi Maklumat Dan Komunikasi,Teknologi Maklumat,6
POLY-DIP-078,Diploma Teknologi Media Cetak,1,Diploma,Reka Bentuk Dan Komunikasi Visual,Teknologi Media Cetak,5
POLY-DIP-079,Diploma Ukur Bahan,0,Diploma,Kejuruteraan Awam,Ukur Bahan,6
POLY-DIP-080,Diploma Reka Bentuk Fesyen Batik,0,Diploma,Reka Bentuk Dan Komunikasi Visual,Reka Bentuk Fesyen Batik,6
POLY-DIP-081,Diploma Reka Bentuk Kraf,0,Diploma,Reka Bentuk Dan Komunikasi Visual,Reka Bentuk Kraf,6
POLY-DIP-082,Diploma Pengurusan Logistik dan Rantaian Bekalan,1,Diploma,Perdagangan,Pengurusan Logistik dan Rantaian Bekalan,5
POLY-CET-001,Sijil Kejuruteraan Awam,0,Sijil,Kejuruteraan Awam,Kejuruteraan Awam,6
POLY-CET-002,Sijil Kejuruteraan Elektrik,0,Sijil,Kejuruteraan Elektrik,Kejuruteraan Elektrik,6
POLY-CET-003,Sijil Kejuruteraan Mekanikal,0,Sijil,Kejuruteraan Mekanikal,Kejuruteraan Mekanikal,6
