institution_id,course_id
POLY-026,POLY-DIP-046
POLY-029,POLY-DIP-046
POLY-031,POLY-DIP-046
POLY-001,POLY-DIP-047
POLY-015,POLY-DIP-047
POLY-023,POLY-DIP-047
POLY-007,POLY-DIP-048
POLY-018,POLY-DIP-048
POLY-026,POLY-DIP-048
POLY-001,POLY-DIP-049
POLY-002,POLY-DIP-049
POLY-003,POLY-DIP-049
POLY-004,POLY-DIP-049
POLY-005,POLY-DIP-049
POLY-006,POLY-DIP-049
POLY-007,POLY-DIP-049
POLY-010,POLY-DIP-049
POLY-011,POLY-DIP-049
POLY-014,POLY-DIP-049
POLY-015,POLY-DIP-049
POLY-016,POLY-DIP-049
POLY-018,POLY-DIP-049
POLY-019,POLY-DIP-049
POLY-020,POLY-DIP-049
POLY-026,POLY-DIP-049
POLY-003,POLY-DIP-050
POLY-017,POLY-DIP-051
POLY-018,POLY-DIP-051
POLY-029,POLY-DIP-051
POLY-008,POLY-DIP-052
POLY-011,POLY-DIP-052
POLY-009,POLY-DIP-053
POLY-009,POLY-DIP-054
POLY-019,POLY-DIP-054
POLY-021,POLY-DIP-054
POLY-009,POLY-DIP-055
POLY-002,POLY-DIP-056
POLY-006,POLY-DIP-056
POLY-017,POLY-DIP-056
POLY-018,POLY-DIP-056
POLY-020,POLY-DIP-056
POLY-025,POLY-DIP-056
POLY-001,POLY-DIP-057
POLY-002,POLY-DIP-057
POLY-003,POLY-DIP-057
POLY-006,POLY-DIP-057
POLY-014,POLY-DIP-057
POLY-017,POLY-DIP-057
POLY-009,POLY-DIP-058
POLY-014,POLY-DIP-058
POLY-002,POLY-DIP-060
POLY-023,POLY-DIP-060
POLY-022,POLY-DIP-061
POLY-027,POLY-DIP-061
POLY-007,POLY-DIP-062
POLY-008,POLY-DIP-062
POLY-023,POLY-DIP-063
POLY-035,POLY-DIP-064
POLY-035,POLY-DIP-065
POLY-033,POLY-DIP-066
POLY-009,POLY-DIP-067
POLY-018,POLY-DIP-068
POLY-032,POLY-DIP-068
POLY-018,POLY-DIP-069
POLY-002,POLY-DIP-070
POLY-033,POLY-DIP-070
POLY-002,POLY-DIP-071
POLY-001,POLY-DIP-072
POLY-003,POLY-DIP-072
POLY-005,POLY-DIP-072
POLY-010,POLY-DIP-072
POLY-012,POLY-DIP-072
POLY-013,POLY-DIP-072
POLY-017,POLY-DIP-072
POLY-018,POLY-DIP-072
POLY-019,POLY-DIP-072
POLY-020,POLY-DIP-072
POLY-021,POLY-DIP-072
POLY-025,POLY-DIP-072
POLY-034,POLY-DIP-072
POLY-001,POLY-DIP-073
POLY-005,POLY-DIP-073
POLY-010,POLY-DIP-073
POLY-012,POLY-DIP-073
POLY-017,POLY-DIP-073
POLY-018,POLY-DIP-073
POLY-019,POLY-DIP-073
POLY-020,POLY-DIP-073
POLY-021,POLY-DIP-073
POLY-025,POLY-DIP-073
POLY-001,POLY-DIP-074
POLY-025,POLY-DIP-074
POLY-032,POLY-DIP-074
POLY-028,POLY-DIP-075
POLY-019,POLY-DIP-076
POLY-010,POLY-DIP-077
POLY-019,POLY-DIP-078
POLY-003,POLY-DIP-079
POLY-004,POLY-DIP-079
POLY-007,POLY-DIP-079
POLY-015,POLY-DIP-079
POLY-034,POLY-DIP-080
POLY-034,POLY-DIP-081
POLY-020,POLY-CET-001
POLY-020,POLY-CET-002
POLY-020,POLY-CET-003
KKOM-065,KKOM-DIP-001
KKOM-097,KKOM-DIP-002
KKOM-014,KKOM-DIP-003
KKOM-002,KKOM-DIP-004
KKOM-074,KKOM-DIP-005
KKOM-018,KKOM-DIP-006
KKOM-054,KKOM-DIP-007
KKOM-097,KKOM-DIP-008
KKOM-019,KKOM-DIP-009
KKOM-011,KKOM-DIP-010
KKOM-062,KKOM-DIP-011
KKOM-015,KKOM-DIP-012
KKOM-019,KKOM-DIP-013
KKOM-051,KKOM-DIP-014
KKOM-041,KKOM-DIP-015
KKOM-052,KKOM-DIP-016
KKOM-054,KKOM-CET-001
KKOM-054,KKOM-CET-002
KKOM-054,KKOM-CET-003
KKOM-069,KKOM-CET-004
KKOM-091,KKOM-CET-004
KKOM-015,KKOM-CET-005
KKOM-038,KKOM-CET-005
KKOM-072,KKOM-CET-005
KKOM-001,KKOM-CET-006
KKOM-097,KKOM-CET-006
KKOM-034,KKOM-CET-007
KKOM-042,KKOM-CET-007
KKOM-045,KKOM-CET-007
KKOM-065,KKOM-CET-007
KKOM-003,KKOM-CET-008
KKOM-006,KKOM-CET-008
KKOM-010,KKOM-CET-008
KKOM-014,KKOM-CET-008
KKOM-018,KKOM-CET-008
KKOM-027,KKOM-CET-008
KKOM-032,KKOM-CET-008
KKOM-035,KKOM-CET-008
